,name,lon,lat
114,Sofia,23.314708152110086,42.68529528393054
115,Minsk,27.56468129665825,53.901923295043105
116,Thimphu,89.63901403703,27.472985859175765
117,Gaborone,25.91194779328538,-24.646313457438907
118,Canberra,149.1290262442992,-35.283028545372076
119,Ouagadougou,-1.5266696149164432,12.372261836543373
120,Sarajevo,18.383001666953305,43.850022398954934
121,Naypyidaw,96.11667267063035,19.76850288475015
122,Nukualofa,-175.22056447761656,-21.13851235669864
123,Hargeysa,44.06531001666542,9.56002239881775
124,Victoria,55.44998978559113,-4.6166316539734
125,Sao Tome,6.733325153234773,0.3334021188329075
126,Apia,-171.73864160860316,-13.841545042448445
127,Valletta,14.514710651312782,35.89973248193087
128,Male,73.499947467955,4.1667081898118
129,Jerusalem,35.20662593459866,31.778407815573303
