date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20200101,12,PM10,43.0,43.0,44.0,39.0,,40.0,,71.0,,56.0,55.0,50.0,54.0,54.0,37.0,37.0,31.0,82.0,42.0,,27.0,19.0,81.0,63.0,85.0,,,,54.0,47.0,,,42.0,59.0,46.0
20200101,12,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,12,AQI,47.0,50.0,46.0,40.0,,46.0,54.0,63.0,,53.0,53.0,58.0,52.0,56.0,49.0,37.0,31.0,66.0,46.0,50.0,27.0,19.0,84.0,58.0,89.0,26.0,43.0,49.0,53.0,53.0,50.0,69.0,50.0,55.0,46.0
20200101,13,PM2.5,36.0,36.0,38.0,38.0,33.0,37.0,38.0,48.0,,34.0,26.0,43.0,34.0,40.0,37.0,27.0,22.0,57.0,38.0,32.0,17.0,7.0,56.0,45.0,68.0,15.0,28.0,37.0,44.0,39.0,36.0,63.0,42.0,35.0,29.0
20200101,13,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,13,PM10,49.0,38.0,49.0,42.0,63.0,44.0,54.0,74.0,,59.0,54.0,52.0,60.0,51.0,45.0,42.0,31.0,87.0,59.0,,25.0,13.0,78.0,61.0,84.0,,,41.0,79.0,55.0,,,46.0,61.0,58.0
20200101,13,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,13,AQI,51.0,51.0,54.0,54.0,57.0,53.0,54.0,66.0,,55.0,52.0,60.0,55.0,56.0,53.0,42.0,31.0,78.0,55.0,46.0,25.0,14.0,76.0,63.0,91.0,21.0,40.0,53.0,65.0,55.0,51.0,85.0,59.0,56.0,54.0
20200101,14,PM2.5,42.0,44.0,40.0,44.0,36.0,39.0,40.0,45.0,,34.0,26.0,47.0,36.0,37.0,37.0,28.0,20.0,48.0,37.0,31.0,37.0,9.0,57.0,47.0,64.0,15.0,24.0,37.0,48.0,33.0,39.0,52.0,41.0,37.0,29.0
20200101,14,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,14,PM10,45.0,,54.0,49.0,49.0,54.0,60.0,80.0,,51.0,52.0,58.0,60.0,55.0,53.0,44.0,24.0,69.0,52.0,,,16.0,73.0,66.0,81.0,,,73.0,86.0,60.0,39.0,,,72.0,68.0
